# r g(r)
0.010000 0.000000
0.030000 0.000000
0.050000 0.000000
0.070000 0.000000
0.090000 0.000000
0.110000 0.000000
0.130000 0.000000
0.150000 0.000000
0.170000 0.000000
0.190000 0.000000
0.210000 0.000000
0.230000 0.000000
0.250000 0.000000
0.270000 0.000000
0.290000 0.000000
0.310000 0.000000
0.330000 0.000000
0.350000 0.000000
0.370000 0.000000
0.390000 0.000000
0.410000 0.000000
0.430000 0.000000
0.450000 0.000000
0.470000 0.000000
0.490000 0.000000
0.510000 0.000000
0.530000 0.000000
0.550000 0.000000
0.570000 0.000000
0.590000 0.000000
0.610000 0.000000
0.630000 0.000000
0.650000 0.000000
0.670000 0.000000
0.690000 0.000000
0.710000 0.000000
0.730000 0.000000
0.750000 0.000000
0.770000 0.000000
0.790000 0.000000
0.810000 0.000000
0.830000 0.000000
0.850000 0.000000
0.870000 0.000007
0.890000 0.000946
0.910000 0.008869
0.930000 0.038157
0.950000 0.099910
0.970000 0.164140
0.990000 0.187435
1.010000 0.159084
1.030000 0.105338
1.050000 0.052969
1.070000 0.022434
1.090000 0.007331
1.110000 0.002025
1.130000 0.000423
1.150000 0.000077
1.170000 0.000000
1.190000 0.000000
1.210000 0.000000
1.230000 0.000000
1.250000 0.000000
1.270000 0.000000
1.290000 0.000000
1.310000 0.000000
1.330000 0.000000
1.350000 0.000000
1.370000 0.000000
1.390000 0.000000
1.410000 0.000000
1.430000 0.000000
1.450000 0.000000
1.470000 0.000000
1.490000 0.000000
1.510000 0.000007
1.530000 0.000011
1.550000 0.000040
1.570000 0.000098
1.590000 0.000169
1.610000 0.000163
1.630000 0.000262
1.650000 0.000348
1.670000 0.000530
1.690000 0.000868
1.710000 0.001626
1.730000 0.003168
1.750000 0.005903
1.770000 0.010876
1.790000 0.021367
1.810000 0.038537
1.830000 0.065824
1.850000 0.107437
1.870000 0.166929
1.890000 0.246350
1.910000 0.349715
1.930000 0.473438
1.950000 0.618519
1.970000 0.779750
1.990000 0.946860
2.010000 1.123242
2.030000 1.304034
2.050000 1.484712
2.070000 1.646884
2.090000 1.812311
2.110000 1.962500
2.130000 2.106915
2.150000 2.233854
2.170000 2.348863
2.190000 2.458872
2.210000 2.566521
2.230000 2.667608
2.250000 2.757368
2.270000 2.839040
2.290000 2.907478
2.310000 2.968173
2.330000 3.014611
2.350000 3.054413
2.370000 3.082962
2.390000 3.104142
2.410000 3.111792
2.430000 3.099245
2.450000 3.060078
2.470000 3.029697
2.490000 3.004044
2.510000 2.979118
2.530000 2.965769
2.550000 2.959049
2.570000 2.953589
2.590000 2.952913
2.610000 2.960174
2.630000 2.966971
2.650000 2.967008
2.670000 2.965104
2.690000 2.962215
2.710000 2.955807
2.730000 2.943101
2.750000 2.929142
2.770000 2.911301
2.790000 2.885479
2.810000 2.857163
2.830000 2.832837
2.850000 2.800838
2.870000 2.772597
2.890000 2.732487
2.910000 2.700267
2.930000 2.666705
2.950000 2.629501
2.970000 2.597262
2.990000 2.570998
3.010000 2.539660
3.030000 2.505371
3.050000 2.472030
3.070000 2.447586
3.090000 2.416181
3.110000 2.388001
3.130000 2.357000
3.150000 2.333306
